;target;text
65;0;@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
304;0;amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
686;0;The Hoyts Distribution NZ website isn't working for me. Great. And it HAS to be like this when I need it most 
1025;0;dang won't be able to get to any workshops run by web directions 
2394;0;Tried to install a Twitter-application on my phone. Didn't work tough, boo! 
2449;0;Tried to install a Twitter-application on my phone. Didn't work though, boo! 
2717;0;"Ahh sorry ya';ll for not being able to twitter from the show my phone so did not work in there at all  But brit was amazeing....ahhh"
2915;0;@ChristinaStokes Is SH working for you? For me, It says that the website is down? 
3413;0;Considering new business name, which means new logo and website. Finding it very difficult to pick a name though. Been 2 weeks  #fail
3706;0;mornnnninggg. ugh by cub has gone to work without a phoneee. got no one to textt 
4200;0;Cant watch @twitchhiker as streaming banned at work  Hope someone records as MP4 and can email it to me!
4602;0;Great, PC fixed, CS4 installed, but now the wireless adapter doesnt work! Of to buy a new one.... 
4694;0;@ashleeadams if someone left a phone at my work i wouldn't go through it but its sad you can't hope for the same in everyone, hey 
4777;0;back at work, haven't even managed to get through the new emails in my inbox yet 
5096;0;After a week of holidays lot of work to do, answer emails, create some changelogs etc, not a pleasure work at all 
5340;0;"Glad my PC had stopped randomly crashing;  it wasn't very conducive to work  - http://bkite.com/06fNh"
5444;0;workingggggggg ughhh and my phone wont let me twitter  
5862;0;trying to wake up while checking my email before going to work while the rest of the world (and my husband) is still in bed!! 
6115;0;@Myd myschooolfthought - no work  My browser says something in Arabic thats waaaayyyy beyond me. Ah well! You still with Google?
6249;0;2 hour break from work then no twitter for 5 hours, boss has put a ban on phones 
6412;0;waiting to hear back from people I emailed... heading to work to do more transcribing... fun... 
7889;0;Awake after six hours. Win2k desktop PC still works, but network still flaky  I think USB is screwed up or something.
7989;0;@wickedtrue Boo no work.   in unrelated news can you get your highly-paid roommate to contact me?  I sent an email last week, no response.
8296;0;dear @twitter, what's with all of the over capacity message? and why doesn't my update button work fro the web? 
8680;0;@Rio_Knights  My word processor doesnt work. So I have to type this crap in a stupid email.
11262;0;See u later - time to move and do work!  Don't have smart phone to carry around with me and send tweets on the run 
12100;0;I'm annoyed because my sister didn't pay her half of the phone bill... so my phone doesn't work now 
12219;0;woahh, im like so tired. mrrrhhh,  twitter on my phone doesn't work 
12617;0;iphone's not working...I feel so alone 
13230;0;One reason the printer wouldn't work: I had accidentally plugged the USB port into a phone outlet :/ Now if it only recognized paper.. 
13460;0;@twibes What's up with the website?   It's not working     Won't load at all.
14314;0;@webapptweet - I tried #TweetDeck too and it never would work.  After downloading the Air file a prompt said it was probably corrupted. 
14691;0;I'm at home today, on the sick.  I hate it. Don't like having to phone work and let them know I cant work. If only I could make a wish
15016;0;"Still at 151; disappointed with how badly 256kbps shoutcast works on my phone over 3G "
15301;0;bored as hell at work with no more internet   boooo
16415;0;My phone is still broken. I'm camping with work again so it won't really bother me until tomorrow. Ugh 
16925;0;Sigh. Still no freaking Internet- this time at our hotel. I didn't really need to send any work emails this week anyway. 
16927;0;@AClockworkToad I am sorry TTT, I dont have SB cake pic, that was in my phone when it died and I lost all my pics.  
17150;0;Managed to tether my phone then it just randomly stopped working and I've tried everything to fix it but no dice  sigh
17620;0; does anybody know the statistics homework *not that I have started* nobody is answering my emails about business studies...
18127;0;The Flickr add-on for Firefox isn't working on du anymore?  Any alternatives?
18569;0;@lharamia dude! cell phone is on the fritz! aghh I'm so sorry I missed youuu! love you - hope you love the new job! 
19107;0;@twimailer Twitter says my twimailer email isn't working anymore.  Can't see an easy way to fix on ur site...
19512;0;Bummed out my phone stopped working... battery is dead and i forgot to charge it 
